# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_whitehouse_b2
# Exported by: Mitt Romney
setting:	replacespawns 0
item_box_buckshot_ttt	2559.989990 -1113.930054 97.164597	0.000 90.000 0.000
item_box_buckshot_ttt	829.619019 -1663.630005 -447.705994	0.000 268.000 0.000
item_box_buckshot_ttt	851.135986 -1665.189941 -447.705994	0.000 268.000 0.000
item_box_buckshot_ttt	2392.530029 -204.479996 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2374.909912 -202.822006 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2417.560059 -201.289001 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	2436.280029 -202.613998 64.293900	0.000 0.000 0.000
item_box_buckshot_ttt	-148.311996 -2071.919922 -468.321014	0.000 268.000 0.000
item_box_buckshot_ttt	-162.203003 -2067.830078 -468.321014	0.000 234.000 0.000
item_box_buckshot_ttt	-175.996002 -2071.689941 -468.321014	0.000 289.000 0.000
ttt_random_ammo	-51.705460 -57.743515 146.764923	-0.035 -3.260 0.668
ttt_random_ammo	-51.573334 -42.063744 146.303848	-1.653 -2.022 -1.992
ttt_random_ammo	-23.260843 -11.276495 64.374512	-0.112 -0.000 0.073
ttt_random_ammo	24.051208 -2.739788 64.423569	-0.043 -0.307 -0.154
ttt_random_ammo	55.505417 -3.697946 64.356361	-0.058 -0.000 -0.003
ttt_random_ammo	78.581902 -6.108514 64.374512	-0.112 -0.000 0.073
ttt_random_ammo	108.258766 -3.996871 64.387856	-0.250 -0.001 0.246
ttt_random_ammo	634.987427 -7.726785 64.379433	0.161 0.001 0.138
ttt_random_ammo	630.308716 -19.711473 64.395172	1.199 0.017 1.407
ttt_random_ammo	624.156189 -4.608446 64.383858	-0.181 -0.001 0.162
ttt_random_ammo	624.296082 -12.955748 64.353287	0.052 0.000 -0.008
ttt_random_ammo	378.043823 97.565926 104.498314	-0.110 -0.000 0.078
ttt_random_ammo	384.121277 92.783875 104.484528	1.306 0.020 1.453
ttt_random_ammo	376.003937 86.592148 104.506493	-0.057 0.000 -0.122
ttt_random_ammo	501.964813 82.308968 104.512093	-0.385 0.015 -1.185
ttt_random_ammo	509.964905 71.934204 104.523300	-0.399 0.001 -0.528
ttt_random_ammo	499.668945 65.235504 104.480408	0.025 0.000 -0.037
ttt_random_ammo	2033.182861 -783.509155 104.440765	1.088 0.028 1.310
ttt_random_ammo	2016.587036 -781.208130 104.355415	0.056 0.000 -0.004
ttt_random_ammo	2024.373779 -769.662964 104.332787	0.046 0.000 -0.028
ttt_random_ammo	2031.078003 -755.569336 104.413010	1.666 0.034 2.008
ttt_random_ammo	2040.355591 -766.897827 104.351173	0.052 0.000 -0.011
ttt_random_ammo	2436.918945 -1001.174500 96.955193	-0.043 -0.000 -0.019
ttt_random_ammo	2431.444336 -994.642334 96.982521	0.006 0.000 0.066
ttt_random_ammo	2437.311035 -989.315125 96.954529	0.043 -0.000 0.020
ttt_random_ammo	2449.704590 -990.988770 96.966499	-0.052 -0.000 -0.003
ttt_random_ammo	2456.609619 -998.488647 96.931732	-0.043 -0.000 -0.032
ttt_random_ammo	2451.867920 -1008.854980 96.975266	-0.069 -0.000 0.023
ttt_random_ammo	2433.597656 -1017.529114 96.914673	-0.047 -0.000 -0.037
ttt_random_ammo	2432.899902 -1009.486755 96.953209	-0.043 -0.000 -0.021
ttt_random_ammo	2439.520264 -1009.457092 97.038277	-0.679 -0.017 0.782
ttt_random_ammo	2677.469971 -714.957886 64.352036	-0.053 0.000 0.011
ttt_random_ammo	2676.178955 -696.377625 64.370590	-0.091 -0.000 0.045
ttt_random_ammo	2676.770508 -678.458374 64.323463	-0.047 -0.000 -0.033
ttt_random_ammo	2673.817383 -659.772034 64.458328	-1.253 -0.031 1.521
ttt_random_ammo	2677.690918 -644.084229 64.340721	-0.047 -0.000 -0.023
ttt_random_ammo	2682.956543 -653.008667 64.393677	-0.367 -0.002 0.390
ttt_random_ammo	2694.333008 -663.431885 64.445908	-1.557 -0.040 1.883
ttt_random_ammo	2700.028809 -671.513245 64.335976	-0.046 -0.000 -0.027
ttt_random_ammo	2706.963135 -680.417664 64.368622	-0.084 -0.000 0.036
ttt_random_ammo	2712.130859 -685.924927 64.421646	1.558 0.040 1.885
ttt_random_ammo	2720.589111 -670.567322 64.452530	-1.367 0.033 -1.658
ttt_random_ammo	2729.260986 -652.382690 64.477997	0.180 -0.971 -0.611
ttt_random_ammo	2734.093262 -657.130920 64.500092	-0.609 4.038 0.738
ttt_random_ammo	2741.935547 -652.941467 64.494301	-0.518 -7.116 -0.510
ttt_random_ammo	2738.799805 -663.153381 64.351212	0.052 -0.000 0.011
ttt_random_ammo	2740.062988 -677.437561 64.393509	1.095 -0.015 -1.279
ttt_random_ammo	2737.873535 -690.417419 64.320107	0.047 0.000 -0.034
ttt_random_ammo	2737.834473 -704.289673 64.357506	0.060 0.000 0.001
ttt_random_ammo	2736.263428 -718.811462 64.340004	0.047 -0.000 0.023
ttt_random_ammo	2754.054443 -707.846375 64.342300	0.048 0.000 -0.021
ttt_random_ammo	2754.348145 -699.143433 64.390778	0.540 -0.004 -0.602
ttt_random_ammo	2754.066650 -691.718872 64.359535	0.063 0.000 0.006
ttt_random_ammo	2754.505371 -683.788330 64.465927	0.281 -2.340 0.310
ttt_random_ammo	2754.859863 -672.330017 64.391327	0.532 0.004 0.593
ttt_random_ammo	2754.607422 -654.899780 64.470413	-0.693 -5.591 0.925
ttt_random_ammo	2754.598633 -641.928345 64.450523	-1.334 0.033 -1.611
ttt_random_ammo	2760.473389 -639.092590 64.332840	0.046 -0.000 0.028
ttt_random_ammo	2768.268311 -636.966003 64.377846	0.148 0.001 0.119
ttt_random_ammo	2773.947021 -641.557617 64.342300	0.048 0.000 -0.022
ttt_random_ammo	2781.212891 -649.360352 64.353333	0.054 0.000 -0.008
ttt_random_ammo	2776.247070 -656.203308 64.365417	0.076 0.000 0.025
ttt_random_ammo	2766.336914 -662.874695 64.330376	0.046 -0.000 0.029
ttt_random_ammo	2762.352539 -671.368408 64.474388	0.996 -0.059 0.870
ttt_random_ammo	2767.941162 -678.574829 64.430634	1.308 0.032 1.576
ttt_random_ammo	2772.753418 -685.728821 64.365425	0.076 0.000 0.025
ttt_random_ammo	2778.466309 -691.913147 64.451828	-0.891 5.123 1.459
ttt_random_ammo	2784.445313 -696.224731 64.385384	-0.253 0.658 -0.160
ttt_random_ammo	2796.759521 -700.605713 64.393631	1.080 -0.014 -1.260
ttt_random_ammo	1311.262817 -424.543304 83.310570	0.608 0.005 0.686
ttt_random_ammo	1319.549561 -423.724518 83.308563	0.468 0.003 0.514
ttt_random_ammo	1190.061646 -429.714478 83.255943	0.047 -0.000 0.025
ttt_random_ammo	1179.963013 -423.976898 83.275803	0.059 0.000 0.000
weapon_zm_rifle	577.083984 -854.653015 65.000000	0.000 0.000 0.000
weapon_zm_rifle	1320.900024 -2007.790039 -413.399994	0.000 0.000 90.000
weapon_zm_mac10	1629.359985 -327.464996 64.000000	0.000 0.000 0.000
weapon_zm_mac10	363.735992 -2379.040039 -448.000000	0.000 0.000 0.000
weapon_zm_mac10	2359.979980 -656.333984 93.147499	0.000 180.000 -90.500
weapon_zm_mac10	1058.280029 -343.019989 105.499001	0.000 0.000 90.000
weapon_zm_mac10	2282.570068 -890.494019 68.471199	0.000 0.000 90.000
item_ammo_357_ttt	533.823975 -860.075012 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	551.999023 -822.494995 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	605.966980 -815.659973 65.275803	0.000 0.000 0.000
item_ammo_357_ttt	1322.229980 -2021.709961 -414.082001	0.000 57.500 0.000
item_ammo_357_ttt	1339.310059 -2021.910034 -414.082001	0.000 104.500 0.000
item_ammo_357_ttt	1432.219971 -1978.930054 -415.026001	0.000 192.500 0.000
item_ammo_357_ttt	1422.680054 -1974.589966 -415.026001	0.000 229.500 0.000
item_ammo_357_ttt	-36.401901 -800.090027 77.077103	0.000 0.000 0.000
item_ammo_357_ttt	-35.681198 -820.815002 77.077103	0.000 0.000 0.000
item_ammo_357_ttt	555.268005 -378.183014 230.160004	0.000 0.000 0.000
item_ammo_357_ttt	544.854980 -377.647003 230.160004	0.000 0.000 0.000
item_ammo_357_ttt	811.692993 -2092.800049 -396.941010	0.000 57.500 0.000
item_ammo_357_ttt	814.971985 -2082.350098 -396.941010	0.000 57.500 0.000
item_ammo_pistol_ttt	998.203003 -749.530029 99.796402	0.000 0.000 0.000
item_ammo_pistol_ttt	980.447998 -743.484009 99.796402	0.000 0.000 0.000
item_ammo_pistol_ttt	210.867004 -862.867004 65.280098	0.000 0.000 0.000
item_ammo_pistol_ttt	418.263000 -2087.040039 -413.614990	0.000 310.000 0.000
item_ammo_pistol_ttt	438.243011 -2089.129883 -413.614990	0.000 35.500 0.000
item_ammo_pistol_ttt	522.007996 -798.987976 -447.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	532.463013 -798.218994 -447.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	542.124023 -798.879028 -447.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	550.023010 -798.145020 -447.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	536.465027 -866.544983 -415.089996	0.000 83.500 0.000
item_ammo_pistol_ttt	1081.839966 -1647.380005 -416.549011	0.000 54.500 0.000
item_ammo_pistol_ttt	1067.680054 -1647.910034 -416.584015	0.000 54.500 0.000
item_ammo_pistol_ttt	1054.099976 -1648.079956 -415.584015	0.000 54.500 0.000
item_ammo_pistol_ttt	1140.739990 -1647.010010 -416.549011	0.000 54.500 0.000
item_ammo_pistol_ttt	1126.589966 -1647.550049 -416.584015	0.000 54.500 0.000
item_ammo_pistol_ttt	1113.000000 -1647.709961 -415.584015	0.000 54.500 0.000
item_ammo_pistol_ttt	1290.609985 -2021.510010 -415.078003	0.000 101.000 0.000
item_ammo_pistol_ttt	1300.390015 -855.695984 64.280197	0.000 0.000 0.000
item_ammo_pistol_ttt	1285.670044 -854.728027 64.280197	0.000 0.000 0.000
item_ammo_pistol_ttt	1271.569946 -856.379028 64.280197	0.000 0.000 0.000
item_ammo_pistol_ttt	99.369499 -833.309021 98.073303	0.000 288.000 0.000
item_ammo_pistol_ttt	100.184998 -818.018005 98.073303	0.000 288.000 0.000
item_ammo_pistol_ttt	99.488899 -805.302002 98.073303	0.000 288.000 0.000
item_ammo_pistol_ttt	98.789101 -794.387024 98.073303	0.000 288.000 0.000
item_ammo_pistol_ttt	98.829102 -784.994995 98.073303	0.000 288.000 0.000
item_ammo_pistol_ttt	710.059021 -530.637024 199.035004	0.000 83.500 0.000
item_ammo_pistol_ttt	711.807007 -476.894989 196.279999	0.000 83.500 0.000
item_ammo_pistol_ttt	4.283330 -372.203003 230.164001	0.000 83.500 0.000
item_ammo_pistol_ttt	4.968260 -361.910004 230.164001	0.000 83.500 0.000
item_ammo_pistol_ttt	836.325989 -2126.860107 -447.776001	0.000 310.000 0.000
item_ammo_pistol_ttt	850.786011 -2129.310059 -447.776001	0.000 310.000 0.000
item_ammo_pistol_ttt	867.127014 -2130.840088 -447.776001	0.000 310.000 0.000
weapon_zm_molotov	728.325012 -467.640991 110.735001	0.000 0.000 0.000
weapon_zm_molotov	735.276978 -468.385986 110.735001	0.000 0.000 0.000
weapon_zm_molotov	743.638000 -468.367004 110.735001	0.000 0.000 0.000
weapon_zm_molotov	204.923004 -1902.229980 -410.566986	0.000 0.000 0.000
weapon_zm_molotov	196.554993 -1909.219971 -410.566986	0.000 0.000 0.000
weapon_zm_molotov	1431.229980 -1928.189941 -409.566986	0.000 0.000 0.000
weapon_zm_molotov	1421.729980 -1928.989990 -409.566986	0.000 0.000 0.000
weapon_zm_molotov	-28.372999 -44.632702 68.734596	0.000 0.000 0.000
weapon_zm_molotov	87.637100 -41.018902 68.734596	0.000 0.000 0.000
weapon_zm_molotov	208.356995 -368.544006 234.619003	0.000 0.000 0.000
weapon_zm_molotov	208.792999 -357.688995 234.619003	0.000 0.000 0.000
weapon_zm_molotov	660.286987 -2205.830078 -441.265015	0.000 0.000 0.000
weapon_zm_molotov	868.075989 -2077.149902 -374.820007	0.000 0.000 0.000
weapon_zm_molotov	870.276978 -2091.340088 -374.820007	0.000 0.000 0.000
weapon_zm_molotov	869.185974 -2104.719971 -374.820007	0.000 0.000 0.000
weapon_ttt_confgrenade	182.126007 -867.846985 65.000000	0.000 0.000 0.000
weapon_ttt_confgrenade	-32.215302 -817.471985 108.359001	0.000 0.000 0.000
weapon_ttt_confgrenade	-32.215302 -804.270020 107.513000	0.000 0.000 0.000
item_ammo_revolver_ttt	2784.370117 -523.239014 64.275803	0.000 0.000 0.000
item_ammo_revolver_ttt	0.241913 -49.323601 64.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	60.967899 -43.083599 64.276001	0.000 0.000 0.000
item_ammo_revolver_ttt	2644.709961 -416.997009 98.159599	0.000 296.500 0.000
item_ammo_revolver_ttt	2660.360107 -419.373993 98.159599	0.000 237.000 0.000
item_ammo_revolver_ttt	687.369995 -464.816986 106.276001	0.000 237.000 0.000
item_ammo_revolver_ttt	657.182983 -464.257996 106.276001	0.000 296.500 0.000
item_ammo_revolver_ttt	3189.100098 -652.849976 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.270020 -675.309998 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.300049 -696.926025 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	3188.340088 -718.541016 106.276001	0.000 180.000 0.000
item_ammo_revolver_ttt	535.952026 -624.668030 -412.591003	0.000 327.000 0.000
item_ammo_revolver_ttt	535.393005 -654.854980 -412.591003	0.000 26.500 0.000
item_ammo_revolver_ttt	722.731018 -2219.590088 -445.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	707.336975 -2218.479980 -445.723999	0.000 0.000 0.000
item_ammo_revolver_ttt	98.151299 -821.518005 76.513603	0.000 118.000 0.000
item_ammo_revolver_ttt	98.226097 -809.604980 76.513603	0.000 118.000 0.000
item_ammo_revolver_ttt	97.682503 -795.606995 76.513603	0.000 118.000 0.000
weapon_zm_shotgun	755.460999 -203.526993 64.000000	0.000 0.000 0.000
weapon_zm_shotgun	2781.679932 -276.459991 65.769501	0.000 0.000 90.000
weapon_zm_shotgun	-30.050100 -1699.050049 -409.858002	0.000 180.000 90.000
weapon_zm_shotgun	850.655029 -1683.969971 -442.742004	0.000 180.000 90.000
weapon_zm_shotgun	725.885986 -832.919006 66.488602	0.000 0.000 90.000
weapon_zm_shotgun	2674.159912 -1099.410034 99.359398	0.000 0.000 90.000
weapon_zm_shotgun	2542.739990 -1096.390015 99.359398	0.000 0.000 90.000
weapon_zm_shotgun	1899.079956 -773.580994 106.488998	0.000 115.000 90.000
weapon_zm_shotgun	-155.479004 -2085.530029 -464.355988	0.000 180.000 90.000
weapon_zm_sledge	1100.920044 -2182.939941 -443.197998	0.000 0.000 0.000
weapon_zm_sledge	-347.399994 -695.525024 68.857803	0.000 0.000 0.000
weapon_zm_sledge	-328.221008 -228.945007 68.857803	0.000 0.000 0.000
weapon_zm_revolver	2654.489990 -430.661987 97.785400	0.000 216.500 88.500
weapon_zm_revolver	678.474976 -478.109985 106.502998	0.000 154.000 88.500
weapon_zm_revolver	3174.409912 -671.142029 107.998001	0.000 90.000 90.000
weapon_zm_revolver	3173.939941 -712.898010 107.998001	0.000 90.000 90.000
weapon_zm_revolver	549.244995 -633.757019 -412.738007	0.000 244.000 88.500
weapon_zm_revolver	707.442017 -2204.540039 -444.002014	0.000 0.000 90.000
weapon_zm_revolver	27.588301 -45.734200 65.997902	0.000 0.000 0.000
weapon_zm_pistol	979.577026 -762.940002 99.516296	0.000 0.000 -87.000
weapon_zm_pistol	147.102997 -864.375000 65.978500	0.000 0.000 90.000
weapon_zm_pistol	433.710999 -2101.610107 -412.931000	0.000 180.000 91.500
weapon_zm_pistol	1284.380005 -2008.349976 -413.635010	0.000 0.000 90.000
weapon_zm_pistol	1279.349976 -834.192993 65.723198	0.000 0.000 90.000
weapon_zm_pistol	1904.229980 -757.202026 105.723000	0.000 75.000 90.000
