# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_67thway_v7_j_l
# Exported by: MattTheEmp
setting:	replacespawns 0
ttt_random_weapon	-689.855225 -272.279144 -446.761169	1.436 4.905 -93.602
ttt_random_weapon	-797.025513 635.995605 -446.762177	1.437 4.802 -93.598
ttt_random_weapon	-765.657227 634.496887 -446.871460	2.157 4.890 -91.816
ttt_random_weapon	-739.141907 632.668274 -446.145081	5.138 6.169 -93.182
ttt_random_weapon	-1066.784790 596.331055 -424.989044	1.326 3.628 -93.880
ttt_random_weapon	-284.729248 491.643890 -446.801331	1.890 4.927 -92.562
ttt_random_weapon	-484.479889 -455.777832 -446.784393	1.699 4.701 -93.000
ttt_random_weapon	-294.406738 -621.402893 -446.803864	1.919 4.718 -92.497
ttt_random_weapon	123.459312 -517.887268 -446.782806	1.681 4.924 -93.041
item_ammo_smg1_ttt	1001.000000 202.000000 -165.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	1018.000000 202.000000 -165.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-907.918030 1221.760010 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-943.802979 1223.449951 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-910.419006 1253.050049 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-940.971008 1249.969971 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-924.968994 1231.949951 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-924.758972 1254.640015 93.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	1040.000000 1344.000000 241.345001	0.000 271.500 0.000
item_ammo_smg1_ttt	1008.000000 1360.000000 241.345001	0.000 0.000 0.000
item_ammo_smg1_ttt	-2813.560059 6225.600098 65.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-2784.580078 6227.899902 65.344704	0.000 0.000 0.000
item_ammo_smg1_ttt	-1061.000000 -286.000000 145.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-810.000000 652.000000 -416.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-766.000000 652.000000 -416.000000	0.000 0.000 0.000
item_ammo_smg1_ttt	-726.000000 651.000000 -416.148010	0.000 0.000 0.000
weapon_ttt_m16	916.000000 -531.000000 164.000000	0.000 96.000 -97.500
weapon_ttt_m16	833.987976 -602.000000 -447.000000	0.000 0.000 90.500
weapon_ttt_m16	833.827026 -729.000000 -446.000000	0.000 0.000 90.500
weapon_ttt_m16	-778.000000 1821.319946 122.000000	-0.484 89.875 -75.499
weapon_ttt_m16	-616.000000 120.000000 156.000000	0.000 284.000 -89.500
weapon_ttt_m16	-1437.069946 1426.000000 126.000000	0.000 0.000 88.500
weapon_ttt_m16	-1486.069946 1426.000000 126.000000	0.000 0.000 88.500
weapon_ttt_m16	-604.000000 -237.000000 105.682999	0.000 86.000 90.500
weapon_ttt_m16	-2430.860107 4554.569824 62.413399	0.000 94.000 0.000
weapon_ttt_m16	-782.000000 1817.140015 158.000000	-0.484 89.875 -75.499
weapon_ttt_m16	-778.000000 1820.540039 134.000000	-0.484 89.875 -75.499
item_box_buckshot_ttt	601.262024 -735.721985 75.488701	0.000 0.000 -0.500
item_box_buckshot_ttt	619.000000 -735.000000 75.488701	0.000 0.000 -0.500
item_box_buckshot_ttt	766.000000 -472.000000 162.000000	0.000 0.000 0.000
item_box_buckshot_ttt	763.000000 -489.000000 162.000000	0.000 0.000 0.000
item_box_buckshot_ttt	-976.995972 -293.803009 -446.705994	0.000 50.500 0.000
item_box_buckshot_ttt	-990.054016 -279.183990 -446.705994	0.000 50.500 0.000
item_box_buckshot_ttt	-912.965027 95.111504 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-917.203003 76.512398 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-913.380005 120.977997 105.293999	0.000 180.000 0.000
item_box_buckshot_ttt	-805.132996 164.878006 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-789.703003 164.832993 233.294006	0.000 0.000 0.000
item_box_buckshot_ttt	-264.000000 -368.000000 -636.510986	0.000 195.000 0.000
item_box_buckshot_ttt	-272.000000 -376.000000 -636.510986	0.000 195.000 0.000
ttt_random_ammo	343.972992 -917.525024 -446.998993	0.000 0.000 0.000
ttt_random_ammo	437.020996 -916.335999 -446.998993	0.000 0.000 0.000
ttt_random_ammo	121.830002 -912.375977 -446.998993	0.000 0.000 0.000
ttt_random_ammo	-41.921902 -909.828979 -446.998993	0.000 0.000 0.000
ttt_random_ammo	-131.315994 -909.551025 -446.998993	0.000 0.000 0.000
ttt_random_ammo	202.401001 -918.367004 -446.998993	0.000 0.000 0.000
ttt_random_ammo	-212.699005 -809.979980 -446.998993	0.000 0.000 0.000
ttt_random_ammo	-154.951004 -811.752014 -446.998993	0.000 0.000 0.000
ttt_random_ammo	212.903000 -815.802979 -446.998993	0.000 0.000 0.000
ttt_random_ammo	386.322998 -814.890015 -446.998993	0.000 0.000 0.000
ttt_random_ammo	484.114990 -816.216980 -446.998993	0.000 0.000 0.000
ttt_random_ammo	-1022.559998 1309.699951 93.000603	0.000 0.000 0.000
ttt_random_ammo	-1027.130005 1328.239990 93.000603	0.000 0.000 0.000
ttt_random_ammo	-991.768982 1331.520020 93.000603	0.000 0.000 0.000
ttt_random_ammo	-989.741028 1313.310059 93.000603	0.000 0.000 0.000
ttt_random_ammo	-1784.000000 1277.000000 108.375999	0.000 0.000 0.000
ttt_random_ammo	-1775.000000 1282.000000 108.375999	0.000 0.000 0.000
ttt_random_ammo	-1788.000000 1288.000000 108.375999	0.000 0.000 0.000
ttt_random_ammo	-1763.000000 1290.000000 108.375999	0.000 317.000 0.000
ttt_random_ammo	-1784.000000 1297.000000 108.375999	0.000 0.000 0.000
ttt_random_ammo	-1765.000000 1302.000000 108.375999	0.000 0.000 0.000
ttt_random_ammo	-2681.000000 6031.000000 98.243599	0.000 0.000 0.000
ttt_random_ammo	-2702.909912 6031.000000 98.104797	0.000 0.000 0.000
ttt_random_ammo	-2702.909912 6043.000000 98.104797	0.000 0.000 0.000
ttt_random_ammo	-2681.000000 6043.000000 98.243599	0.000 0.000 0.000
ttt_random_ammo	-1280.000000 1246.000000 108.375999	0.000 90.000 0.000
ttt_random_ammo	-1268.000000 1248.000000 108.375999	0.000 47.000 0.000
ttt_random_ammo	-1275.000000 1227.000000 108.375999	0.000 90.000 0.000
ttt_random_ammo	-1266.000000 1223.000000 108.375999	0.000 90.000 0.000
ttt_random_ammo	-1260.000000 1236.000000 108.375999	0.000 90.000 0.000
ttt_random_ammo	-1255.000000 1227.000000 108.375999	0.000 90.000 0.000
ttt_random_ammo	-1750.000000 5813.000000 76.315201	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5828.799805 78.341904	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5848.740234 79.000000	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5813.000000 101.315002	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5828.799805 103.342003	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5848.740234 104.000000	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5813.000000 138.315002	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5828.799805 140.341995	0.000 0.000 0.000
ttt_random_ammo	-1750.000000 5848.740234 141.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5744.259766 138.315002	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5760.069824 140.341995	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5780.000000 141.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5760.069824 103.342003	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5744.259766 101.315002	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5780.000000 104.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5780.000000 79.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5760.069824 78.341904	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5744.259766 76.315201	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5877.259766 138.315002	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5893.069824 140.341995	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5913.000000 141.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5893.069824 103.342003	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5877.259766 101.315002	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5913.000000 104.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5913.000000 79.000000	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5893.069824 78.341904	0.000 0.000 0.000
ttt_random_ammo	-1749.709961 5877.259766 76.315201	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5884.000000 138.315002	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5899.799805 140.341995	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5919.740234 141.000000	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5899.799805 103.342003	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5884.000000 101.315002	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5919.740234 104.000000	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5919.740234 79.000000	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5899.799805 78.341904	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5884.000000 76.315201	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5855.470215 104.000000	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5835.540039 103.342003	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5819.740234 101.315002	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5819.740234 76.315201	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5835.540039 78.341904	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5855.470215 79.000000	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5855.470215 141.000000	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5835.540039 140.341995	0.000 0.000 0.000
ttt_random_ammo	-932.288025 5819.740234 138.315002	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5751.000000 138.315002	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5766.799805 140.341995	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5786.740234 141.000000	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5786.740234 104.000000	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5766.799805 103.342003	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5751.000000 101.315002	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5751.000000 76.315201	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5766.799805 78.341904	0.000 0.000 0.000
ttt_random_ammo	-932.000000 5786.740234 79.000000	0.000 0.000 0.000
ttt_random_ammo	-946.557983 -916.554993 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-923.596985 -914.556030 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-898.669983 -912.820984 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-917.481995 -876.000000 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-892.723022 -876.443970 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-944.138000 -877.906006 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-968.913025 -879.440979 -42.999401	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5312.000000 101.315002	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5327.799805 103.342003	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5347.740234 104.000000	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5347.740234 79.000000	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5327.799805 78.341904	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5312.000000 76.315201	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5312.000000 138.315002	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5327.799805 140.341995	0.000 0.000 0.000
ttt_random_ammo	-1430.709961 5347.740234 141.000000	0.000 0.000 0.000
ttt_random_ammo	-418.954010 2434.590088 81.000603	0.000 0.000 0.000
ttt_random_ammo	-417.299988 2465.969971 81.000603	0.000 0.000 0.000
ttt_random_ammo	-419.045990 2505.479980 81.000603	0.000 0.000 0.000
ttt_random_ammo	-362.290009 2518.679932 81.000603	0.000 0.000 0.000
ttt_random_ammo	-354.571014 2474.020020 81.000603	0.000 0.000 0.000
ttt_random_ammo	-355.479004 2440.989990 81.000603	0.000 0.000 0.000
ttt_random_ammo	-1544.729980 1782.489990 129.001007	0.000 0.000 0.000
ttt_random_ammo	-1545.680054 1867.219971 129.001007	0.000 0.000 0.000
ttt_random_ammo	-1546.400024 1698.930054 129.001007	0.000 0.000 0.000
ttt_random_ammo	-501.429993 -526.721008 -638.999023	0.000 0.000 0.000
ttt_random_ammo	-500.792999 -499.604004 -638.999023	0.000 0.000 0.000
ttt_random_ammo	-500.813995 -477.908997 -638.999023	0.000 0.000 0.000
ttt_random_ammo	-1716.055542 4848.123047 48.325314	0.047 0.000 -0.032
ttt_random_ammo	-1720.559570 4809.281250 48.370975	0.100 0.000 0.056
ttt_random_ammo	-1724.329224 4792.054199 48.346825	0.050 0.000 -0.017
ttt_random_ammo	-1713.874756 4778.030273 48.409996	-0.195 0.091 0.232
ttt_random_ammo	-1712.383911 4763.333496 48.461014	-1.203 -0.030 1.463
ttt_random_ammo	-1713.113281 4743.586426 48.417595	-1.445 -0.025 1.705
ttt_random_ammo	106.366150 1245.871826 64.325310	0.046 0.000 -0.032
ttt_random_ammo	-5.584977 1237.112671 64.418571	1.610 -0.036 -1.950
ttt_random_ammo	-67.364975 1223.665771 64.363503	0.071 0.000 0.017
ttt_random_ammo	-143.322540 1189.425903 64.351204	0.053 0.000 -0.011
ttt_random_ammo	-112.914276 1169.307983 64.330353	0.046 0.000 -0.029
ttt_random_ammo	-43.420021 1190.030518 64.340004	0.047 -0.000 0.023
ttt_random_ammo	17.605295 1191.387695 64.416168	1.714 0.035 2.078
ttt_random_ammo	63.264095 1245.962036 64.353340	0.054 0.000 -0.008
ttt_random_ammo	118.914192 1226.627075 64.394829	1.448 0.025 1.709
ttt_random_ammo	51.605904 1208.179565 64.322731	0.047 0.000 -0.033
ttt_random_ammo	-966.177368 -34.405174 471.376953	-72.056 -179.928 169.128
ttt_random_ammo	-956.589600 -38.364948 474.521606	-71.915 179.282 172.333
ttt_random_ammo	-946.238037 -35.921093 477.927246	-71.470 177.153 -176.367
ttt_random_ammo	-682.284729 -922.154114 200.404358	-0.729 -0.007 0.833
ttt_random_ammo	-699.507874 -933.982727 200.333557	-0.046 -0.000 -0.028
ttt_random_ammo	-710.681213 -922.737671 200.449234	-1.600 -0.043 1.946
ttt_random_ammo	39.988873 -1193.729614 64.374428	0.120 -0.000 -0.084
ttt_random_ammo	18.391312 -1133.665161 64.374481	0.122 0.000 0.086
ttt_random_ammo	-353.919067 -1441.418213 80.445999	1.015 0.026 1.225
ttt_random_ammo	-344.234100 -1450.484619 80.335251	0.046 0.000 -0.027
ttt_random_ammo	-353.743286 -1448.180176 80.372749	0.110 0.000 0.070
ttt_random_ammo	-342.789825 -1437.182983 80.379425	0.171 0.001 0.148
ttt_random_ammo	-335.725677 -1442.640869 80.353348	0.055 0.000 -0.007
ttt_random_ammo	1768.731323 -264.847290 68.415466	1.505 -0.035 -1.806
ttt_random_ammo	1772.979004 -240.715637 68.359497	0.060 0.000 0.005
ttt_random_ammo	1773.335938 -218.019531 68.374466	0.116 0.000 0.081
ttt_random_ammo	1777.157104 -195.208282 68.346771	0.048 0.000 -0.017
ttt_random_ammo	1778.413330 -169.938309 68.383980	0.234 0.001 0.228
ttt_random_ammo	1779.687622 -153.742767 68.395172	1.394 0.023 1.644
ttt_random_ammo	1685.982056 1165.503784 79.334610	6.016 0.411 -0.716
ttt_random_ammo	1688.176758 1039.246460 81.774261	6.686 0.621 -1.449
ttt_random_ammo	1691.265259 1127.969849 79.441116	6.078 1.178 -0.851
ttt_random_ammo	1699.431885 1035.983765 83.177757	84.447 -164.547 -164.230
ttt_random_ammo	1704.722290 1093.933716 79.090912	6.884 0.780 -1.928
ttt_random_ammo	1710.477173 1042.460938 81.869133	5.206 -25.990 -93.810
ttt_random_ammo	583.124939 911.238647 370.458496	-0.014 -0.055 -0.565
ttt_random_ammo	583.944946 906.313477 370.461273	0.640 -0.074 0.420
ttt_random_ammo	584.393066 905.679749 380.878082	0.812 0.318 0.490
ttt_random_ammo	575.799561 1634.640015 370.485016	-1.453 1.436 1.583
ttt_random_ammo	576.710144 1629.811523 370.451965	0.314 1.157 1.435
ttt_random_ammo	576.473633 1624.140747 370.480072	1.787 0.050 -2.167
ttt_random_ammo	571.692566 1345.951538 372.690491	0.000 6.858 89.612
ttt_random_ammo	569.976135 1344.832397 375.403290	-0.025 3.105 -0.387
ttt_random_ammo	570.850098 1314.607544 372.730469	0.492 0.855 -90.970
ttt_random_ammo	895.787170 1728.768921 370.499054	1.105 2.017 0.079
ttt_random_ammo	889.949829 1727.311768 370.432648	0.918 2.019 -1.138
ttt_random_ammo	883.824951 1726.493408 373.573212	-87.660 -71.980 66.029
ttt_random_ammo	970.311707 1711.459229 242.392334	0.599 0.005 0.675
ttt_random_ammo	949.481689 1697.795654 242.393173	0.687 0.006 0.783
ttt_random_ammo	956.882019 1709.937988 242.390411	0.447 0.003 0.490
ttt_random_ammo	1800.925171 1901.295898 72.136047	-0.017 0.176 0.309
ttt_random_ammo	1785.882690 1918.640991 72.147644	-0.009 -0.183 0.342
ttt_random_ammo	1757.435059 1917.021484 72.216339	-0.005 -0.181 0.229
ttt_random_ammo	-723.219849 1758.614136 88.344582	0.049 0.000 -0.019
ttt_random_ammo	-716.490784 1759.146606 88.464485	1.704 0.019 1.610
ttt_random_ammo	-713.781799 1748.090576 88.393227	0.957 -0.011 -1.111
ttt_random_ammo	-637.113159 1338.499023 68.337578	0.045 0.000 -0.024
ttt_random_ammo	-641.685120 1327.776001 68.348991	0.049 -0.000 0.014
ttt_random_ammo	-636.065796 1314.227051 68.348984	0.049 0.000 -0.014
ttt_random_ammo	-679.787964 -224.992737 -447.627258	0.110 0.000 0.070
ttt_random_ammo	-661.093567 -223.213623 -447.648804	0.052 0.000 -0.011
ttt_random_ammo	-668.669128 -234.137115 -447.560822	1.193 -0.029 -1.447
ttt_random_ammo	-1070.541382 587.746826 -425.753784	-0.144 0.009 -0.133
ttt_random_ammo	-1063.851563 590.628845 -425.741821	0.006 0.855 0.002
ttt_random_ammo	-1072.356323 604.937134 -425.822449	0.144 0.116 -0.271
ttt_random_ammo	-319.539246 482.979858 -447.627258	0.110 0.000 0.071
ttt_random_ammo	-306.114319 473.006866 -447.620575	0.171 0.001 0.148
ttt_random_ammo	-287.567993 468.915771 -447.644562	0.057 -0.000 0.004
ttt_random_ammo	-482.610504 -436.523346 -447.607086	0.724 0.007 0.827
ttt_random_ammo	-492.633179 -436.399658 -447.625519	0.122 0.000 0.085
ttt_random_ammo	-501.332428 -449.196350 -447.664764	0.047 0.000 -0.027
ttt_random_ammo	-268.564850 -637.342163 -447.640472	0.064 0.000 0.006
ttt_random_ammo	-303.687469 -633.728027 -447.620575	0.171 0.001 0.148
ttt_random_ammo	-329.934540 -633.125671 -447.646667	0.055 0.000 -0.007
ttt_random_ammo	105.316307 -440.951996 -447.640472	0.063 0.000 0.006
ttt_random_ammo	110.512650 -466.667847 -447.571411	1.426 0.033 1.727
ttt_random_ammo	112.916679 -495.821320 -447.625519	0.122 0.000 0.086
weapon_zm_rifle	-1018.000000 212.000000 242.000000	-72.411 6.150 -117.980
weapon_zm_rifle	-784.380005 1665.280029 132.143005	0.866 90.500 -59.996
weapon_zm_rifle	1008.000000 1056.000000 242.957993	0.000 0.000 0.000
weapon_zm_rifle	-2884.000000 5922.000000 423.000000	1.489 277.002 90.183
weapon_zm_rifle	-1486.069946 1426.000000 146.000000	0.000 0.000 88.500
weapon_zm_rifle	-1430.069946 1426.000000 146.000000	0.000 0.000 88.500
weapon_zm_mac10	991.000000 226.000000 -164.000000	0.000 0.000 91.000
weapon_zm_mac10	-1036.000000 1210.000000 176.000000	0.000 0.000 88.500
weapon_zm_mac10	-1092.000000 1210.000000 176.000000	0.000 0.000 88.500
weapon_zm_mac10	1008.000000 1344.000000 245.470993	0.000 0.000 0.000
weapon_zm_mac10	-2804.000000 6240.000000 67.000000	0.000 0.000 -90.500
weapon_zm_mac10	-1408.099976 6121.700195 229.470993	0.000 0.000 0.000
weapon_zm_mac10	-1171.000000 1444.000000 125.000000	0.000 0.000 -85.000
weapon_zm_mac10	-1189.359985 1446.000000 125.000000	0.000 0.000 -87.000
weapon_zm_mac10	-1031.000000 -291.000000 145.000000	0.000 190.000 88.500
weapon_zm_mac10	-2653.050049 6044.959961 69.471199	0.000 0.000 0.000
weapon_zm_mac10	-2269.520020 5822.669922 213.470993	0.000 0.000 0.000
item_ammo_357_ttt	-1034.560059 219.981003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1031.880005 207.647003 233.276001	0.000 0.000 0.000
item_ammo_357_ttt	-1119.180054 1306.640015 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1120.000000 1327.160034 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1099.130005 1309.079956 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	-1102.530029 1328.900024 93.275803	0.000 0.000 0.000
item_ammo_357_ttt	1008.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	1024.000000 1072.000000 241.276001	0.000 0.000 0.000
item_ammo_357_ttt	-2890.659912 5948.129883 420.276001	0.000 0.000 0.000
item_ammo_357_ttt	1220.430054 308.882996 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1239.609985 307.816010 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1028.979980 309.919006 130.276001	0.000 0.000 0.000
item_ammo_357_ttt	1045.280029 303.721008 130.276001	0.000 0.000 0.000
item_ammo_pistol_ttt	905.000000 -489.000000 162.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	914.000000 -490.000000 162.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	-860.515015 -613.000000 105.000000	0.000 0.000 0.000
item_ammo_pistol_ttt	854.518005 -582.671997 -446.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	837.270996 -582.656982 -446.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	825.877014 -582.706970 -446.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	864.570007 -710.333008 -446.720001	0.000 0.000 0.000
item_ammo_pistol_ttt	848.478027 -709.020020 -446.720001	0.000 0.000 0.000
