# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_flatgrass
# Exported by: Mitt Romney
setting:	replacespawns 0
ttt_random_ammo	-212.730743 248.946152 -12287.611328	-0.264 -0.003 0.173
ttt_random_ammo	9.263229 411.600037 -12287.618164	-0.269 -0.003 0.197
ttt_random_ammo	-18.286715 261.137665 -12285.370117	-0.227 9.288 89.537
ttt_random_ammo	-109.772850 58.553837 -12287.648438	-0.328 -0.003 0.269
ttt_random_ammo	-108.174133 108.708511 -12287.584961	-0.447 -0.003 -0.161
ttt_random_ammo	13.751882 103.861839 -12287.594727	-0.314 -0.003 0.036
ttt_random_ammo	73.045654 51.442776 -12287.590820	-0.346 -0.003 -0.015
ttt_random_ammo	23.901608 119.057404 -12287.630859	-0.290 -0.003 0.230
ttt_random_ammo	-143.429108 149.149704 -12287.621094	-0.274 -0.003 0.207
ttt_random_ammo	-259.984344 201.673691 -12287.571289	-1.001 0.002 -0.875
ttt_random_ammo	-197.023651 429.433746 -12287.604492	-0.267 -0.003 0.140
ttt_random_ammo	-159.601379 543.925781 -12287.567383	-1.263 0.006 -1.203
ttt_random_ammo	-353.735321 541.177979 -12287.630859	-0.290 -0.003 0.230
ttt_random_ammo	-526.285400 462.608307 -12287.532227	-1.316 0.024 -1.416
ttt_random_ammo	-666.058594 510.237335 -12287.626953	-0.283 -0.003 0.221
ttt_random_ammo	-609.253357 748.756226 -12287.625000	-0.280 -0.003 0.217
ttt_random_ammo	-456.973999 803.695984 -12287.657227	-0.348 -0.003 0.286
ttt_random_ammo	-250.845108 747.384583 -12287.651367	-0.333 -0.003 0.273
ttt_random_ammo	-68.555542 701.299561 -12287.606445	-0.266 -0.003 0.149
ttt_random_ammo	23.304253 703.758545 -12287.541016	-1.559 0.029 -1.665
ttt_random_ammo	-133.621109 697.136719 -12287.538086	-1.577 0.029 -1.697
ttt_random_ammo	-113.342346 785.305115 -12287.597656	-0.292 -0.003 0.076
ttt_random_ammo	10.916951 836.433472 -12287.572266	-0.985 0.002 -0.856
ttt_random_ammo	49.017071 760.658325 -12287.653320	-0.338 -0.003 0.277
ttt_random_ammo	250.540161 668.148071 -12287.595703	-0.301 -0.003 0.059
ttt_random_ammo	348.641235 509.015747 -12287.646484	-0.323 -0.003 0.264
ttt_random_ammo	491.018982 521.164063 -12287.590820	-0.344 -0.003 -0.012
ttt_random_ammo	477.744324 654.676392 -12287.586914	-0.418 -0.003 -0.119
ttt_random_ammo	538.930420 428.886322 -12287.598633	-0.284 -0.003 0.092
ttt_random_ammo	643.988037 386.334778 -12287.612305	-0.265 -0.003 0.179
ttt_random_ammo	612.004944 725.943237 -12287.612305	-0.265 -0.003 0.179
ttt_random_ammo	358.594788 736.303162 -12287.653320	-0.338 -0.003 0.277
ttt_random_ammo	739.876343 544.877319 -12287.597656	-0.294 -0.003 0.074
ttt_random_ammo	721.068176 407.391693 -12287.651367	-0.333 -0.003 0.273
ttt_random_ammo	787.817261 730.115479 -12287.579102	-0.648 -0.002 -0.427
ttt_random_ammo	705.508606 833.108704 -12287.632813	-0.294 -0.003 0.234
ttt_random_ammo	545.966064 884.124207 -12287.628906	-0.286 0.003 -0.226
ttt_random_ammo	747.629944 577.803467 -12287.618164	-0.269 -0.003 0.197
ttt_random_ammo	744.688721 317.979706 -12287.534180	-1.349 0.025 -1.448
ttt_random_ammo	623.920898 284.511108 -12287.634766	-0.298 -0.003 0.239
ttt_random_ammo	716.724670 176.921524 -12287.642578	-0.314 -0.003 0.256
ttt_random_ammo	708.468567 46.716469 -12287.528320	-1.039 0.021 -1.112
ttt_random_ammo	651.904785 -77.999001 -12287.638672	-0.306 -0.003 0.247
ttt_random_ammo	845.782166 95.005371 -12287.539063	-1.651 0.028 -1.778
ttt_random_ammo	837.233032 130.513519 -12287.598633	-0.284 -0.003 0.092
ttt_random_ammo	757.783630 103.103737 -12287.621094	-0.274 -0.003 0.207
ttt_random_ammo	790.014587 183.423935 -12287.628906	-0.286 -0.003 0.226
ttt_random_ammo	830.454468 207.455978 -12287.604492	-0.268 -0.003 0.139
ttt_random_ammo	842.975403 -0.216865 -12287.520508	-0.648 0.016 -0.692
ttt_random_ammo	786.814636 -116.521553 -12287.648438	-0.328 -0.003 0.269
ttt_random_ammo	680.278442 -186.959229 -12287.587891	-0.389 -0.003 -0.079
ttt_random_ammo	627.631531 -295.877563 -12287.634766	-0.298 -0.003 0.239
ttt_random_ammo	571.178894 -403.053558 -12287.625000	-0.280 -0.003 0.217
ttt_random_ammo	628.723511 -468.743774 -12287.634766	-0.298 -0.003 0.239
ttt_random_ammo	700.830933 -420.027557 -12287.646484	-0.323 -0.003 0.264
ttt_random_ammo	713.541809 -371.220001 -12287.612305	-0.265 -0.003 0.179
ttt_random_ammo	726.420776 -356.358124 -12287.539063	-1.626 0.027 -1.749
ttt_random_ammo	743.096558 -352.019501 -12287.614258	-0.266 -0.003 0.186
ttt_random_ammo	780.385742 -394.642120 -12287.621094	-0.274 -0.003 0.207
ttt_random_ammo	772.329529 -449.549713 -12287.612305	-0.265 -0.003 0.179
ttt_random_ammo	725.819275 -522.328674 -12287.582031	-0.525 -0.003 -0.266
ttt_random_ammo	654.075928 -581.464722 -12287.569336	-1.122 0.004 -1.028
ttt_random_ammo	609.368164 -640.363403 -12287.598633	-0.284 -0.003 0.092
ttt_random_ammo	564.452087 -603.719604 -12287.626953	-0.283 -0.003 0.221
ttt_random_ammo	489.155212 -495.140808 -12287.595703	-0.303 -0.003 0.056
ttt_random_ammo	442.975220 -497.940186 -12287.604492	-0.267 -0.003 0.140
ttt_random_ammo	283.003082 -443.970123 -12287.612305	-0.265 -0.003 0.179
ttt_random_ammo	286.605377 -426.331757 -12287.603516	-0.270 -0.003 0.130
ttt_random_ammo	215.423691 -381.726257 -12287.651367	-0.333 -0.003 0.273
ttt_random_ammo	25.130474 -496.598846 -12287.616211	-0.267 -0.003 0.191
ttt_random_ammo	-92.613647 -633.676819 -12287.519531	-0.675 0.017 -0.726
ttt_random_ammo	-120.485275 -704.072876 -12287.638672	-0.306 -0.003 0.247
ttt_random_ammo	-122.317894 -796.690979 -12287.636719	-0.302 -0.003 0.243
ttt_random_ammo	-278.301971 -825.742493 -12287.614258	-0.266 -0.003 0.186
ttt_random_ammo	-266.183258 -909.517273 -12287.592773	-0.326 -0.003 0.016
ttt_random_ammo	-392.077789 -969.588257 -12287.626953	-0.283 -0.003 0.221
ttt_random_ammo	-401.336700 -908.389282 -12287.626953	-0.283 -0.003 0.221
ttt_random_ammo	-359.968445 -812.009338 -12287.621094	-0.274 -0.003 0.207
ttt_random_ammo	-300.688171 -713.722534 -12287.592773	-0.327 -0.003 0.014
ttt_random_ammo	-282.829834 -744.860229 -12287.626953	-0.283 -0.003 0.221
ttt_random_ammo	-317.489868 -836.788086 -12287.542969	-1.744 0.030 -1.870
ttt_random_ammo	-318.354187 -922.923157 -12287.616211	-0.267 -0.003 0.191
ttt_random_ammo	-346.488373 -955.797424 -12287.632813	-0.294 -0.003 0.234
ttt_random_ammo	-148.559387 -882.812378 -12287.597656	-0.293 -0.003 0.074
ttt_random_ammo	-147.471985 -833.890686 -12287.530273	-1.201 0.023 -1.292
ttt_random_ammo	-234.328171 -742.314026 -12287.618164	-0.269 -0.003 0.197
ttt_random_ammo	-314.230682 -635.492065 -12287.595703	-0.303 -0.003 0.056
ttt_random_ammo	-393.202301 -758.056335 -12287.533203	-1.334 0.025 -1.435
ttt_random_ammo	-469.223236 -790.179443 -12287.634766	-0.298 -0.003 0.239
ttt_random_ammo	-441.012054 -848.713074 -12287.638672	-0.306 -0.003 0.247
ttt_random_ammo	-536.000000 -891.653625 -12287.618164	-0.269 -0.003 0.197
ttt_random_ammo	-578.124512 -891.043213 -12287.541016	-1.755 0.030 -1.889
ttt_random_ammo	-677.034485 -809.559509 -12287.563477	-1.434 -0.010 1.415
ttt_random_ammo	-812.617249 -780.004822 -12287.611328	-0.264 0.003 -0.172
ttt_random_ammo	-893.295898 -757.665833 -12287.582031	-0.528 0.003 0.270
ttt_random_ammo	-826.721497 -810.157837 -12287.621094	-0.274 0.003 -0.207
ttt_random_ammo	-707.661621 -819.133179 -12287.597656	-0.292 0.003 -0.076
ttt_random_ammo	-622.064209 -732.819580 -12287.648438	-0.328 -0.003 0.269
ttt_random_ammo	-601.989075 -537.257446 -12287.530273	-1.202 0.023 -1.293
ttt_random_ammo	-602.343628 -468.633698 -12287.601563	-0.273 -0.003 0.119
ttt_random_ammo	-715.238342 -444.353851 -12287.644531	-0.319 0.003 -0.260
ttt_random_ammo	-814.897217 -445.393311 -12287.628906	-0.286 0.003 -0.226
ttt_random_ammo	-901.230957 -552.566711 -12287.626953	-0.283 0.003 -0.221
ttt_random_ammo	-922.545227 -499.652191 -12287.640625	-0.310 0.003 -0.251
ttt_random_ammo	-932.665527 -399.278076 -12287.642578	-0.314 0.003 -0.256
ttt_random_ammo	-900.631897 -294.830078 -12287.582031	-0.526 0.003 0.267
ttt_random_ammo	-810.908813 -193.868820 -12287.609375	-0.264 0.003 -0.166
ttt_random_ammo	-640.007263 70.064423 -12287.640625	-0.310 -0.003 0.251
ttt_random_ammo	-793.168640 82.721649 -12287.638672	-0.306 0.003 -0.247
ttt_random_ammo	-675.651367 174.444244 -12287.538086	-1.497 0.027 -1.604
ttt_random_ammo	-772.901550 339.099945 -12287.536133	-1.476 -0.028 1.583
ttt_random_ammo	-820.089600 412.702087 -12287.614258	-0.266 0.003 -0.185
ttt_random_ammo	-881.718628 424.452362 -12287.530273	-1.279 -0.024 1.378
ttt_random_ammo	-817.251526 157.292023 -12287.583984	-0.490 0.003 0.219
ttt_random_ammo	-805.448486 70.041954 -12287.655273	-0.343 0.003 -0.281
ttt_random_ammo	-859.620728 -180.867859 -12287.594727	-0.313 0.003 -0.037
ttt_random_ammo	-888.621460 -138.849442 -12287.611328	-0.264 0.003 -0.173
ttt_random_ammo	-964.957336 41.829296 -12287.611328	-0.264 0.003 -0.172
ttt_random_ammo	-941.433899 184.804489 -12287.620117	-0.271 0.003 -0.202
ttt_random_ammo	-948.426208 299.031281 -12287.594727	-0.316 0.003 -0.034
ttt_random_ammo	-956.866089 480.956482 -12287.628906	-0.286 0.003 -0.226
ttt_random_ammo	-980.530518 578.840027 -12287.532227	-1.446 -0.026 1.560
ttt_random_ammo	-864.347900 641.139648 -12287.603516	-0.271 0.003 -0.128
ttt_random_ammo	-831.526855 693.955444 -12287.623047	-0.277 0.003 -0.212
ttt_random_ammo	184.451218 2609.976318 -12799.531250	-1.239 -0.022 1.312
ttt_random_ammo	-872.390808 767.609497 -12287.640625	-0.310 0.003 -0.251
ttt_random_ammo	-860.895996 715.773987 -12287.642578	-0.314 0.003 -0.256
