# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dolls
# Exported by: Mitt Romney
setting:	replacespawns 0
item_ammo_smg1_ttt	749.719971 -969.708740 -103.448387	0.018 0.642 0.068
weapon_ttt_m16	390.954041 -767.889832 129.503494	2.107 2.940 -88.442
weapon_ttt_m16	340.555725 -913.502930 128.836258	2.122 -5.964 84.065
weapon_ttt_m16	524.450073 -835.430664 128.828629	2.460 -6.620 84.104
item_box_buckshot_ttt	-708.258545 459.519073 -703.655762	0.615 0.003 -0.490
item_box_buckshot_ttt	-582.978638 475.426910 -703.655762	0.612 0.003 -0.487
item_box_buckshot_ttt	-618.988342 579.747253 -703.537964	-0.392 -0.006 0.348
item_box_buckshot_ttt	-416.380005 580.837036 -539.600342	-0.864 -0.011 0.775
item_box_buckshot_ttt	-623.711609 835.379578 -703.529724	1.101 -0.626 -0.308
item_box_buckshot_ttt	-421.181091 890.743103 -703.529541	1.053 -0.140 -0.274
item_box_buckshot_ttt	-228.174942 729.287537 -703.523315	-0.495 -0.977 0.811
item_box_buckshot_ttt	-429.942688 801.296204 -703.621948	0.283 0.003 -0.142
item_box_buckshot_ttt	-507.604462 772.772400 -703.598145	-0.860 -0.011 0.764
ttt_random_ammo	591.782532 -561.604126 -535.632751	0.081 -0.000 -0.032
ttt_random_ammo	503.300537 -632.794678 -535.606079	0.783 0.008 0.900
ttt_random_ammo	540.800842 -671.229797 -535.513306	0.014 0.360 -0.038
ttt_random_ammo	505.705780 -703.808289 -535.556580	0.984 0.026 1.178
ttt_random_ammo	479.633667 -709.296265 -535.664795	0.046 0.000 -0.026
ttt_random_ammo	551.151306 -714.546082 -535.622192	0.147 0.001 0.118
ttt_random_ammo	577.402405 -770.004761 -535.672180	0.046 -0.000 0.030
ttt_random_ammo	552.979370 -728.413269 -535.660034	0.047 0.000 -0.023
ttt_random_ammo	585.210327 -655.133545 -535.550293	0.000 0.129 0.045
ttt_random_ammo	610.656738 -586.823730 -535.509583	-1.499 -5.493 1.382
ttt_random_ammo	630.536072 -579.133728 -535.642517	0.059 -0.000 -0.000
weapon_zm_rifle	-708.642700 -661.515381 175.183182	3.473 12.659 65.423
weapon_zm_rifle	-696.236328 284.744507 -704.912537	3.337 15.365 64.578
weapon_zm_rifle	-501.171631 467.719269 -704.849670	3.327 15.389 65.027
weapon_zm_rifle	-571.984680 620.248718 -704.818909	3.321 15.401 65.247
weapon_zm_rifle	782.717529 926.337097 127.095665	3.700 3.332 65.173
weapon_zm_mac10	-668.055908 463.564880 -702.752991	-0.692 -51.677 -88.322
weapon_zm_mac10	-620.104065 367.397003 -702.760010	-0.709 -51.676 -88.268
weapon_zm_mac10	-700.321228 362.062775 -702.775146	-0.745 -51.675 -88.153
weapon_zm_mac10	-449.161377 685.405273 -702.746887	-0.677 -51.678 -88.369
weapon_zm_mac10	-406.953522 504.011810 -702.765259	-0.721 -51.675 -88.228
weapon_zm_mac10	800.073669 -998.812866 -102.749603	-0.116 -50.619 -88.589
item_ammo_357_ttt	-730.680542 -693.833130 176.368469	0.458 0.059 0.040
item_ammo_357_ttt	-720.282654 -704.383240 176.371506	0.459 0.059 0.039
item_ammo_357_ttt	-707.554077 -703.559998 176.357117	0.456 0.062 0.044
item_ammo_357_ttt	-575.859253 573.130371 -703.647644	0.466 0.062 0.043
item_ammo_357_ttt	-468.191254 623.088257 -703.599243	0.471 0.056 0.025
item_ammo_357_ttt	-298.498627 478.157959 -703.684570	0.462 0.075 0.056
item_ammo_357_ttt	-431.795013 327.314453 -703.601379	0.470 0.057 0.026
item_ammo_357_ttt	-586.127625 593.593140 -703.588562	0.472 0.056 0.021
item_ammo_357_ttt	-654.183411 512.814331 -703.671143	0.463 0.070 0.051
item_ammo_357_ttt	802.258484 958.190674 128.350067	0.454 0.064 0.047
item_ammo_357_ttt	809.756348 947.971375 128.319473	0.448 0.075 0.059
item_ammo_357_ttt	823.489990 928.702332 128.351868	0.455 0.062 0.046
item_ammo_pistol_ttt	449.260956 -761.727356 128.406937	-0.080 -0.020 -0.024
item_ammo_pistol_ttt	405.470825 -877.938354 128.399734	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	406.821686 -822.714661 128.398239	-0.088 -0.020 -0.026
item_ammo_pistol_ttt	446.204285 -836.922058 128.410461	0.249 0.214 -0.342
item_ammo_pistol_ttt	434.076691 -887.172913 128.356476	-0.124 -0.019 -0.037
item_ammo_pistol_ttt	408.145813 -912.536987 128.425552	-0.064 -0.020 -0.019
item_ammo_pistol_ttt	378.402954 -935.976379 128.388702	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	379.959869 -885.168152 128.320282	-0.156 -0.017 -0.047
item_ammo_pistol_ttt	442.433685 -894.299194 128.335754	-0.142 -0.019 -0.043
weapon_zm_molotov	576.672119 -280.324066 -639.888916	-1.186 -1.461 -1.814
weapon_zm_molotov	566.018616 -277.644836 -639.872314	-1.021 -1.553 -1.560
weapon_zm_molotov	555.290894 -275.417908 -639.828674	-0.588 -1.731 -0.894
weapon_zm_molotov	557.339172 -262.523804 -639.873901	-1.036 -1.489 -1.584
weapon_zm_molotov	569.799438 -267.118042 -639.870789	-1.006 -1.579 -1.537
weapon_zm_molotov	578.022522 -267.868744 -639.858032	-0.879 -1.638 -1.342
item_ammo_revolver_ttt	660.012146 57.041069 -624.620911	0.246 0.280 -2.839
item_ammo_revolver_ttt	659.088928 68.229630 -625.132813	0.194 0.516 -2.954
item_ammo_revolver_ttt	658.853516 79.506569 -625.549561	0.488 0.437 -2.737
weapon_zm_shotgun	-634.018982 594.684143 -702.916382	-0.323 -8.953 -84.010
weapon_zm_shotgun	-527.422729 315.677307 -702.838623	-0.468 -25.205 -84.823
weapon_zm_shotgun	-399.163727 435.943054 -693.476440	30.973 17.092 94.163
weapon_zm_shotgun	-529.900452 415.486328 -702.894226	-0.367 -8.951 -84.218
weapon_zm_shotgun	-635.219299 355.086151 -702.975037	-0.205 -8.957 -83.458
weapon_zm_sledge	-509.193878 322.041870 -706.227783	18.541 -1.865 3.110
weapon_zm_sledge	-673.750549 559.910339 -706.269165	12.306 0.606 2.606
weapon_zm_revolver	-483.566528 -8.809038 -703.029846	1.597 -19.244 -86.495
weapon_zm_revolver	-775.604370 -118.992035 -703.029846	1.587 -19.242 -86.513
weapon_zm_revolver	662.868530 103.806870 -617.179749	2.318 -16.164 -86.415
weapon_ttt_glock	-478.628601 742.818115 -702.887207	-1.044 25.038 91.657
weapon_ttt_glock	-394.800568 454.073883 -702.894592	-0.432 25.142 90.684
weapon_ttt_glock	-550.189026 448.681824 -702.887024	-1.057 25.038 91.678
weapon_ttt_glock	-607.955627 352.017303 -702.890991	-0.730 25.128 91.158
weapon_zm_pistol	799.201538 947.040894 -703.198059	1.069 -35.593 -88.051
weapon_zm_pistol	793.042358 938.254700 -703.152161	0.802 -35.601 -88.488
weapon_zm_pistol	756.817993 934.178162 -703.081055	0.388 -35.607 -89.164
