# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_bestbuy
# Exported by: Mitt Romney
setting:	replacespawns 0
ttt_random_ammo	1004.732788 465.291565 17.374376	-0.105 -0.000 0.066
ttt_random_ammo	1013.007629 476.080170 17.349747	-0.049 -0.000 -0.014
ttt_random_ammo	1029.377197 463.648834 17.325945	-0.045 -0.000 -0.031
ttt_random_ammo	1044.002075 464.183136 17.364534	-0.069 -0.000 0.017
ttt_random_ammo	1034.237793 449.685516 17.323366	-0.045 -0.000 -0.032
ttt_random_ammo	1020.269714 434.047058 17.360443	-0.061 -0.000 0.005
ttt_random_ammo	1471.235474 -601.256287 53.339920	0.046 0.000 -0.023
ttt_random_ammo	1480.008911 -598.959961 53.337566	0.045 0.000 -0.025
ttt_random_ammo	1493.421997 -600.949890 53.322651	0.045 0.000 -0.032
ttt_random_ammo	1504.611572 -599.646057 53.355385	0.055 0.000 -0.004
ttt_random_ammo	1517.371582 -600.578979 53.382526	0.204 0.001 0.192
ttt_random_ammo	1517.338501 -588.816895 53.372726	0.104 0.000 0.065
weapon_zm_mac10	836.372375 1099.131348 95.238770	0.080 -43.963 -88.403
weapon_zm_mac10	715.577148 1080.660278 95.269379	0.271 -44.457 -88.880
ttt_playerspawn	1025.696777 -1264.650757 15.543262	-0.055 -0.000 0.055
ttt_playerspawn	808.038391 -1245.431396 15.541525	-0.057 -0.000 0.057
ttt_playerspawn	682.982788 -1182.890381 15.532019	-0.066 -0.000 0.066
ttt_playerspawn	898.211670 -1162.304443 15.564940	-0.034 -0.000 0.034
ttt_playerspawn	-717.413574 1211.226074 17.480562	-0.012 -0.000 0.012
ttt_playerspawn	-717.394958 1017.056152 17.495728	-0.010 -0.000 0.010
ttt_playerspawn	-698.539307 949.534424 17.548040	0.000 2.605 -0.165
ttt_playerspawn	350.537689 1537.956299 17.546841	-0.051 -0.000 0.051
ttt_playerspawn	1912.544312 718.921692 17.545767	-0.053 -0.000 0.053
ttt_playerspawn	1678.206421 -666.794678 17.522526	-0.074 -0.000 0.074
ttt_playerspawn	-892.036255 -202.978378 17.525585	-0.073 -0.000 0.073
ttt_playerspawn	31.407797 63.420280 17.467257	-0.013 -0.000 0.013
ttt_playerspawn	176.190201 58.585838 17.471203	-0.013 -0.000 0.013
weapon_zm_molotov	368.726746 -414.436584 17.160673	-2.244 -1.302 -1.615
weapon_zm_molotov	361.163025 -416.171936 17.163717	-2.145 -1.351 -1.544
weapon_zm_molotov	363.982269 -407.889526 17.177052	-1.712 -1.425 -1.231
item_ammo_revolver_ttt	-814.462585 -351.803619 49.357048	0.455 0.059 0.045
item_ammo_revolver_ttt	-806.376343 -351.692108 49.334534	0.450 0.064 0.054
item_ammo_revolver_ttt	-801.158325 -370.603943 49.408924	0.906 0.558 -0.025
weapon_zm_shotgun	714.015686 820.905884 95.043884	-0.217 -10.122 -83.807
weapon_zm_shotgun	830.784058 817.336670 95.179657	-0.725 -12.796 -86.202
weapon_zm_sledge	828.300842 953.481140 91.742172	18.037 7.125 2.098
weapon_zm_sledge	714.818176 955.966553 91.808449	18.634 -4.525 2.992
weapon_zm_revolver	-815.249939 -368.911926 49.881161	3.084 -16.833 -84.058
